fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
6sZI1oIs,,19:45,JORDAN - Premier League,Unknown,Al Hussein,Al Buqaa,vsbYw1n7,j9mK0B3Q,-,-,finished,https://www.flashscore.com/match/football/al-buqaa-vsbYw1n7/al-hussein-j9mK0B3Q/?mid=6sZI1oIs,Unknown,2026-02-26T13:19:47.037417+00:00
M9cn77fK,,19:45,JORDAN - Premier League,Unknown,Al Wehdat,Al Salt,bHIHtuAP,dGsh4eOj,-,-,finished,https://www.flashscore.com/match/football/al-salt-bHIHtuAP/al-wehdat-dGsh4eOj/?mid=M9cn77fK,Unknown,2026-02-26T13:19:47.037417+00:00
ram6pUGq,,21:30,LIBYA - Premier League,Unknown,Al Hilal Benghazi,Al Ahly Benghazi,U36idyL0,pC8f0aG3,-,-,finished,https://www.flashscore.com/match/football/al-ahly-benghazi-U36idyL0/al-hilal-benghazi-pC8f0aG3/?mid=ram6pUGq,Unknown,2026-02-26T13:19:47.037417+00:00
hI6Z2xXA,,21:30,LIBYA - Premier League,Unknown,Al Taawun,Darnes,C4WZPen7,O86tie4p,-,-,finished,https://www.flashscore.com/match/football/al-taawun-C4WZPen7/darnes-O86tie4p/?mid=hI6Z2xXA,Unknown,2026-02-26T13:19:47.037417+00:00
GCoEr8od,,22:00,LIBYA - Premier League,Unknown,Al Qadisiyah,Abu Salim,bDKkAiK5,vaDiTwlJ,-,-,finished,https://www.flashscore.com/match/football/abu-salim-bDKkAiK5/al-qadisiyah-vaDiTwlJ/?mid=GCoEr8od,Unknown,2026-02-26T13:19:47.037417+00:00
rJw06Bw3,,22:00,LIBYA - Premier League,Unknown,Al Watan,Al Malaab El Libby,OOYijqVT,2BDwY7xI,-,-,finished,https://www.flashscore.com/match/football/al-malaab-el-libby-OOYijqVT/al-watan-2BDwY7xI/?mid=rJw06Bw3,Unknown,2026-02-26T13:19:47.037417+00:00
jqs84k8F,,22:00,LIBYA - Premier League,Unknown,Al-Khmes,Asswehly,rBsII9Vm,Iw5jr76r,-,-,finished,https://www.flashscore.com/match/football/al-khmes-rBsII9Vm/asswehly-Iw5jr76r/?mid=jqs84k8F,Unknown,2026-02-26T13:19:47.037417+00:00
zaoxbj50,,15:30,MAURITIUS - Super League,Unknown,Petite Riviere,Pamplemousses,WMH49yBg,t2bLCZt9,-,-,finished,https://www.flashscore.com/match/football/pamplemousses-WMH49yBg/petite-riviere-t2bLCZt9/?mid=zaoxbj50,Unknown,2026-02-26T13:19:47.037417+00:00
bm3VnElo,,22:00,NICARAGUA - Liga Primera - Clausura,Unknown,Diriangen,Rancho Santana,KnWu1GSM,hpQcABS8,-,-,finished,https://www.flashscore.com/match/football/diriangen-KnWu1GSM/rancho-santana-hpQcABS8/?mid=bm3VnElo,Unknown,2026-02-26T13:19:47.037417+00:00
ljvbxopT,,18:00,NORTH & CENTRAL AMERICA - CONCACAF Championship U20,Unknown,Trinidad & Tobago U20,Barbados U20,zZmg81mq,zLuDg6IA,-,-,finished,https://www.flashscore.com/match/football/barbados-zZmg81mq/trinidad-tobago-zLuDg6IA/?mid=ljvbxopT,Qualification,2026-02-26T13:19:47.037417+00:00
